A,B,C,D
74,"Recently placed a second order in November, with plenty of time for the items to arrive before Christmas. Was hoping to sell these on my site, and make some Christmas sales as a small business owner. When the order arrived, over 50 items were defective, and were unfit to sell. After contacting their resolutions line, they were quick and hassle free to offer replacements. Although since this offer, the customer service has been terrible. I was told they would ship out last Friday, but they won't reply to me to confirm if that's happened, if they have started making the replacement items, or provided any tracking information. So I'm left waiting, wondering, if and when my items will arrive. Which clearly won't be in time to sell before Christmas. Quite frustrating.",Entripy Custom Clothing,D
75,"After reviewing this shop I got a call from customer service who talked to me about my issues and fixed the problem! Thanks so much Kim, I really appreciate your patience and responding quickly to me! Received sweatshirt in a timely matter but was not correct. Will only communicate through email telling me I didn't search the proper logo when on my end there is no where to search it. Very disappointed with the customer service. all I was asking was for the club logo to be added",Entripy Custom Clothing,D
76,"The quality is not bad but the customer service is terrible. This is not the first time I have issues so will no longer use them. They would not let me modify my order as i needed to add more items,.under the pretext it's in ""production"" but.the last time I order it took months to receive my golf shirt because they are ""special order"". They also do not honor the discount they advertised on their website.",Entripy Custom Clothing,D
77,"Best print on demand company I have used! Amazing service, amazing follow up reminders of orders forgotten in the approval process!
Mr. Brar the owner took the time to contact me and help me solve my problems!
Thank you!",Entripy Custom Clothing,D
78,Terrible customer service. Ordered blue polo shirts 6 months ago and then green ones 3 weeks ago. The logo on the green shirts is much smaller than the blue shirts even though it's a repeat order and I never made any changes to the logo. Contacted customer service and was told by Anna that this was my fault since I approved the order. Such arrogance ! Will take my business elsewhere in the future !,Entripy Custom Clothing,D
79,"I ordered hats for a conference, was guaranteed they would make it on time. Day after day the order was delayed by their production department. I reminded them daily for two weeks and was assured they would make it on time. The hats finally arrived the day the conference ended. The hats were shoddily embroidered. Meanwhile, seeing the writing on the wall, I ordered backups last-minute from a local company. Those were completed on time and look excellent. This was my fourth order. I've had one good order out of four. I will never order from Entripy again. Nothing but lip-service.",Entripy Custom Clothing,D
80,"Daughtereen from customer service was very nice, helpful and able to solve my concern quickly. Will buy again.",Entripy Custom Clothing,D
81,My experience with Entripy has been very.good. Custom orders delivered exactly when expected and the quality of the clothing and prints has been perfect. No complaints at all and will continue to use them for custom clothing orders.,Entripy Custom Clothing,D
82,"After about 7 years of dealing with these guys. I have to say, stay away. Do you like delayed orders? What about forgotten orders? Or orders that were sent to their print on demand department (heat transfer printing) even though I paid for screen printing. What about calling their support line and getting told no problem we are rushing this order and then You find out the order wasn't rushed in fact it was still sitting in “queue” after 2 months.

The worst customer service I have ever received when buying branded apparel.

Just find a company that wants to actually support their customers and help them get what they paid for. It's ok when the company makes an error it's not a big deal but when they lie and delay you you further?!? Why?!?

Not a good choice unless you don't mind waiting and getting the run around.",Entripy Custom Clothing,D
83,"Outstanding service from the initial phone call, to placing the order to picking it up. Very friendly and extremely helpful and the final product exceeded my expectations. And the price was very reasonable - the best part
Thank you very much . I will be back !",Entripy Custom Clothing,D
84,"Ordered 20 hoodies for a high-school club, and it came down to a really cheap price. Order was ready (pickup) on time, no mistakes. But the quality was disappointing, and there was a bit of white print found on the neck of every hoodie, which was irritating. Custom clothing operation was good, but the general quality of the hoodies themselves were not great",Entripy Custom Clothing,D
85,Just ordered 2 joke t-shirts for a family event and was shocked at how well they turned out for $10 each!.The shipping is kind of a killer but was pleasantly surprised that there was no additional charge for differently designed shirts packaged in one order! The quality of the print is really spectacular - super bright and sharp. The t-shirt does seem a little smaller in sizing but I ordered larger because of previous peoples complaints. Definitely won't hesitate coming back if I ever need something printed again!,Entripy Custom Clothing,D
86,"Sadly I cannot write all the details of my review as it exceed the word limit. I placed an order on May 20th with a ""Hot Rush"". Expected to receive my proofs on Tuesday after the long weekend by 12:30 at the latest as they indicate 3-4 hours. I did not receive them until 3:40PM (after the production cut off). I was given a cut off extension until 5PM, I contacted by e-mail and phone with my changes. I did not receive he changes until 11:16 the NEXY DAY! I contacted multiple times and was assured the front logo WOULD NOT LAND ON THE BOOB. I was assured their standard print area for left chest was 5 inches from the shoulder seam for women. Their website also has a list that states the same. I was ASSURED my order would be completed and shipped on time for my event on the 26th. E-mail quote: ""We will not make you drive 5 hours to pick up your order. Rather, we will complete your order by end of day tomorrow, and have it shipped to your listed address via UPS Express Saver. UPS indicates it will arrive at your address by Friday. This will save you a trip down to the GTA, and will ensure you have your order in your hands before your event.""
That did not happen! I HAD TO DRIVE 5 HOURS TO PICK MY ORDER TO GET IT ON TIME! Upon my arrival, the shirts were still not ready and were in packing. I opened the box to look at them before leaving to find the front logo positioned RIGHT ON THE BOOB! I measured and rather than the promised 5 inch from shoulder seam placement it was sitting at 8 inches! Upon further inspection OVER half the order men's and women's had ink stains, smears and damaged/snagged material.
Initially they took immediate action to remedy the situation. They said they would not charge for the order AND reprint everything all at no charge! I was assured this twice by Sally te Kamp and Alva Troubetzkoi. I was also PROMISED that since there were no longer all the sizes available that I needed, they would print and send those sizes at a later date. They put me in a hotel and advised my new order would be ready in a few hours, this was 3:30 and I still have a 5 hour drive home. My order was not ready until 9:10 PM. Upon my arrival for pick up I could tell right away the front logo was still not at 5 inches this time it was too high, but had no more energy left so took as it. Upon further inspection later I realized even on the new order MULTIPLE pieces were damaged. ink stains/smears and damaged material. I slept a few hours and drove home at 4am the day of my event. This was an event in memory of 2 family members who have lost their lives to suicide so this meant a lot to us.
I sent Alva and Sally a list of all the damaged shirts in the new order, as well advised that 1 shirt was missing entirely a 3XL. I also included the shirts I was promised would be reprinted at a later date due to stock unavailability. I also sent pictures of the damage and notified that that I was not requested reprint of all new shirts but wanted to point out that the front logo position was still not correct at 5 inches is was now only at 3 inches. First 8, now 3, but their standard states 5. I even marked on a shirt the start and stop dots. Starting at 5 inches from the shoulder seam, and the logo was 3 inches in length, so finishing at 8 inches. NOT STARTING AT 8 AS WAS ON THE ORIGINAL, OR STARTING AT 3 AS WAS ON THE NEWLY PRINTED SHIRTS. I received a very disappointing e-mail from Alva today advising that they are refusing to print and replace the damaged pieces as well as the ones missing from stock unavailability. They are frustrated and retracting on their commitment because my expectation is to receive the shirts in the proper sizes I needed without damage to them. It is not my fault or error that even their second round of printing my shirts included ink stains and damage..So their commitment to customer service ended in a big FU. I am trying to add more photos of damage ink stains in particular but for some reason only this one image will load.",Entripy Custom Clothing,D
87,"With so many suppliers and vendors out there, you would be best to stay away from these guys. Don't be fooled by the pricing! Their service is absolutely horrible. I ordered FOUR shirts. Just four for our grand opening. I ordered almost 2 weeks in advanced and they delayed the order two times to a date in which I would have zero shirts for the grand opening. They tried to make it right by express shipping me the shirts in order to make the grand opening. They sent me ONE. To say the least, there was no point in having one staff in uniform and 3 others not in uniform. So we had zero uniforms for our grand opening. Not to mention the 1 shirt they sent me was absolute trash quality. There are many suppliers out there that are local and will provide much better service. Stay away from Entripy! Buyer beware!",Entripy Custom Clothing,D
88,"Edit - Entripy has worked hard to fix the issues. I appreciate their realizing their was an issue and trying their best to rectify it. We have ordered product from Entripy numerous times. The product quality is as described; you get what you pay for. Nothing lasts very long. Shipping was never as promised, although that may have been because they had the wrong postal code and the shipping company would always say that our address did not exist. We had to make Entripy aware of the situation a few times before it was finally fixed. Last week we ordered a bunch of sweatshirts based on previous sizing..We had found Mediums were small and Large were mediums. This time larges were extra large. They could do nothing to fix them other than say we will pick up the old ones and then deliver new ones . Well we needed them for a event and they were not trying to help in a manner that suggested urgency. We have been repeat clients for many years but that does not seem to matter. If your only concern is price then this is your company!",Entripy Custom Clothing,D
89,"I placed an order for a sample. About 11 days later, I follow up just to be told some story about how the shirt had a hole in it, then another story of the shirt needs to be reprinted because the quality was not up to their standard. They then suggested it will take another 10 days for a reprint. I instantly requested the order be cancelled and refunded. Mistake happens, I get that. But there is no excuse for poor customer service and this level of ""he say, she said"". I have no confidence in using them again. I will say they provide prompt communication which I appreciate.",Entripy Custom Clothing,D
90,"Amazing service and quality. I have ordered from Entripy twice. Entripy has exceptional customer service, I always got a reply back almost immediately and if not, maybe in 15-20 minutes max. Entripy met all my demands and the quality of the clothes were beyond my expectations. The embroidery on the 30 something sweaters I ordered was beautiful. These sweaters were also the cheapest of all the options I had looked at. The package took 1 day to arrive after it was shipped which is amazing! All in all, I would definitely recommend Entripy to anyone who needs to do a bulk order, and I definitely will be ordering again from Entripy for any custom clothing orders!",Entripy Custom Clothing,D
91,"Employees are a pleasure to work with. From the staff to the Client Care team, everyone is really good at their job. I had an amazing experience and will definitely use Entripy again. The designer created proofs fast and exactly how I envisioned it. The turnaround for the t-shirts were surprisingly fast. And Client Care team was able to resolve the small hiccup we had without any hassle. They pay good attention to quality requirements as well.",Entripy Custom Clothing,D
92,"Originally I had a not so pleasant experience with this company, however, they did make the effort to fix it for me. I ordered rush service for team shirts. They came in and a few were misprinted (no numbers at the back when I paid for them)/1 never showed up. They informed me of the 1 that never showed a few hours AFTER the package was delivered! Then this happened again with the new shirts twice. 3 weeks later and I finally had all my shirts I ordered. The customer service department is very quick at responding and in the end, I received all my shirts and a partial refund for all of this inconvenience. If you're in no rush for your products, I'd recommend this company. The prices are affordable, the site is easily accessible, and the quality is good. Since this incident as well, I've ordered again and the process is was fantastic! 5 stars for their products and customer service",Entripy Custom Clothing,D
93,I placed an order for custom Shopping bags and was given a p.u date for completion.supposed to be May 26.I was never informed of any delays to production I guess my business is not important.I am canceling my order and request my money.,Entripy Custom Clothing,D
